world,district,ward_number,plot_number,house_size,lotto_entries
Sargatanas,Shirogane,16,42,1,4
Lamia,Mist,8,44,2,42
Coeurl,The Lavender Beds,18,2,1,6
Siren,The Goblet,9,8,2,30
Siren,The Lavender Beds,27,56,1,5
Leviathan,Shirogane,12,21,1,19
Brynhildr,The Goblet,14,35,3,58
Cactuar,Shirogane,14,9,1,6
Cactuar,The Goblet,18,48,1,2
Sargatanas,Mist,6,8,1,4
Exodus,Shirogane,22,35,1,7
Brynhildr,The Goblet,13,49,2,46
Brynhildr,The Lavender Beds,10,33,3,99
Faerie,Mist,11,58,1,6
Gilgamesh,Mist,23,1,2,28
Hyperion,The Lavender Beds,22,9,1,17
Mateus,The Goblet,23,52,1,7
Hyperion,Shirogane,14,57,1,13
Lamia,The Lavender Beds,29,50,1,7
Zalera,Shirogane,19,26,1,5
Siren,The Lavender Beds,20,59,1,33
Hyperion,Mist,27,40,1,5
Midgardsormr,The Lavender Beds,26,38,1,6
Mateus,The Goblet,13,9,1,7
Zalera,The Goblet,13,2,1,2
Coeurl,The Lavender Beds,9,48,1,4
Coeurl,The Lavender Beds,22,60,2,77
Malboro,Mist,14,55,1,2
Midgardsormr,Empyreum,27,51,2,57
Gilgamesh,The Goblet,23,38,2,24
Cactuar,The Goblet,3,42,2,26
Cactuar,Shirogane,28,27,1,9
Cactuar,Empyreum,29,53,1,6
Cactuar,Mist,10,8,1,9
Mateus,Shirogane,19,52,1,31
Mateus,Shirogane,12,8,2,133
Faerie,Mist,15,12,1,5
Famfrit,Shirogane,29,40,1,3
Ultros,Shirogane,24,22,1,12
Exodus,Mist,30,13,1,2
Zalera,Empyreum,27,30,3,170
Midgardsormr,The Goblet,24,57,1,3
Exodus,Shirogane,18,17,1,18
Brynhildr,Empyreum,21,15,1,10
Brynhildr,Mist,27,1,2,41
Adamantoise,The Lavender Beds,15,51,2,46
Mateus,The Lavender Beds,7,59,1,55
Balmung,Shirogane,6,44,1,20
Siren,Mist,15,24,1,3
Faerie,Mist,14,27,1,5
Faerie,The Lavender Beds,22,20,1,13
Faerie,The Goblet,29,27,1,5
Faerie,The Goblet,12,14,1,5
Faerie,Empyreum,15,4,1,8
Gilgamesh,Mist,18,12,1,2
Midgardsormr,The Goblet,22,42,2,34
Excalibur,Mist,27,11,1,4
Excalibur,Shirogane,27,59,1,2
Ultros,Mist,12,21,1,13
Ultros,The Goblet,27,21,1,1
Brynhildr,Empyreum,17,20,1,6
Diabolos,Shirogane,1,50,1,1
Mateus,The Lavender Beds,9,1,2,88
Gilgamesh,The Lavender Beds,7,32,1,4
Brynhildr,The Goblet,15,31,1,4
Brynhildr,Empyreum,29,46,1,7
Gilgamesh,The Lavender Beds,19,7,1,4
Goblin,Shirogane,19,16,3,164
Leviathan,Shirogane,18,53,1,8
Zalera,Empyreum,22,9,1,5
Siren,Mist,23,22,1,8
Siren,The Goblet,19,25,2,39
Excalibur,Shirogane,22,54,2,30
Sargatanas,The Goblet,9,55,2,23
Sargatanas,The Goblet,6,42,2,6
Brynhildr,Shirogane,29,35,1,9
Diabolos,The Lavender Beds,28,25,1,3
Diabolos,The Lavender Beds,2,27,2,17
Ultros,The Lavender Beds,27,8,1,8
Gilgamesh,Mist,23,6,2,68
Cactuar,The Lavender Beds,24,40,1,8
Sargatanas,Shirogane,10,44,1,5
Coeurl,The Lavender Beds,28,49,1,7
Siren,Shirogane,15,9,1,3
Siren,Mist,20,12,1,2
Balmung,Empyreum,29,19,1,33
Brynhildr,The Goblet,8,38,2,26
Mateus,Shirogane,19,55,1,17
Behemoth,The Lavender Beds,27,29,1,18
Leviathan,Empyreum,21,30,3,61
Leviathan,The Goblet,28,18,1,2
Exodus,Shirogane,20,24,2,76
Exodus,Mist,8,59,2,62
Adamantoise,Mist,25,12,1,4
Jenova,Mist,26,1,2,94
Jenova,Mist,17,26,1,6
Jenova,The Goblet,26,37,1,5
Jenova,The Goblet,22,16,1,8
Jenova,Mist,27,52,1,8
Balmung,Mist,21,16,1,32
Mateus,Empyreum,19,20,1,7
Hyperion,The Goblet,22,42,2,34
Famfrit,The Lavender Beds,10,59,1,15
Lamia,The Lavender Beds,23,38,1,5
Lamia,The Lavender Beds,13,40,1,4
Ultros,The Goblet,24,51,1,1
Ultros,The Goblet,26,46,1,0
Sargatanas,Mist,20,17,1,3
Malboro,Shirogane,11,58,2,74
Adamantoise,Mist,30,40,1,10
Ultros,Mist,21,18,1,6
Leviathan,Shirogane,1,6,1,1
Sargatanas,The Goblet,15,16,1,1
Coeurl,Shirogane,15,51,1,7
Diabolos,Mist,20,20,1,7
Cactuar,Shirogane,25,21,1,2
Diabolos,Mist,16,39,1,1
Diabolos,Mist,16,22,1,3
Mateus,Empyreum,7,9,1,10
Leviathan,The Lavender Beds,12,39,1,16
Brynhildr,Shirogane,30,16,3,81
Zalera,The Lavender Beds,18,41,2,167
Behemoth,The Goblet,23,30,3,68
Mateus,Shirogane,16,41,1,22
Gilgamesh,Mist,4,24,1,1
Adamantoise,Mist,29,23,1,4
Adamantoise,Mist,13,39,1,3
Goblin,Empyreum,24,41,1,3
Malboro,The Lavender Beds,17,32,1,3
Malboro,The Lavender Beds,11,1,2,41
Jenova,Empyreum,24,19,1,7
Jenova,Mist,1,6,2,37
Mateus,Mist,22,42,1,24
Excalibur,Mist,16,16,1,3
Balmung,Empyreum,24,16,1,27
Goblin,The Goblet,14,11,2,25
Brynhildr,Mist,27,29,2,45
Midgardsormr,The Goblet,22,36,2,27
Excalibur,The Lavender Beds,21,26,1,3
Excalibur,Shirogane,13,57,1,3
Zalera,Shirogane,15,28,2,79
Jenova,Shirogane,6,6,1,1
Ultros,Shirogane,13,48,1,6
Leviathan,Empyreum,28,4,1,1
Leviathan,Empyreum,12,29,1,1
Zalera,Empyreum,11,56,2,37
Siren,The Lavender Beds,21,59,1,30
Behemoth,Shirogane,30,17,1,6
Coeurl,The Lavender Beds,21,60,2,45
Mateus,Mist,7,18,1,30
Jenova,Mist,11,47,1,11
Jenova,Mist,29,10,1,17
Goblin,Shirogane,29,37,3,192
Leviathan,The Lavender Beds,7,52,1,6
Midgardsormr,The Lavender Beds,13,44,1,5
Balmung,Empyreum,19,10,1,24
Mateus,The Goblet,8,48,1,22
Gilgamesh,The Lavender Beds,19,1,2,46
Ultros,Mist,25,14,2,27
Malboro,Shirogane,5,1,2,29
Siren,The Goblet,7,47,1,3
Adamantoise,Empyreum,11,44,1,0
Sargatanas,The Lavender Beds,29,39,1,24
Mateus,The Lavender Beds,1,32,1,1
Cactuar,The Lavender Beds,16,39,1,22
Cactuar,The Lavender Beds,19,51,2,48
Coeurl,The Lavender Beds,28,41,2,148
Brynhildr,Empyreum,14,29,1,4
Diabolos,The Lavender Beds,7,42,1,3
Jenova,The Goblet,22,20,1,6
Jenova,The Goblet,8,51,1,3
Diabolos,Shirogane,15,42,1,1
Diabolos,Shirogane,10,34,1,6
Lamia,Shirogane,19,14,1,9
Lamia,Shirogane,10,58,2,36
Jenova,The Lavender Beds,20,42,1,8
Jenova,The Lavender Beds,4,29,1,1
Gilgamesh,Shirogane,22,16,3,77
Gilgamesh,Shirogane,16,52,1,11
Gilgamesh,Shirogane,16,30,3,200
Hyperion,Shirogane,30,41,1,7
Exodus,The Lavender Beds,16,25,1,4
Malboro,The Lavender Beds,27,7,1,9
Malboro,Shirogane,20,57,1,3
Faerie,Shirogane,10,27,1,16
Midgardsormr,Empyreum,30,48,2,53
Zalera,The Goblet,26,12,2,27
Leviathan,The Lavender Beds,29,55,1,2
Leviathan,The Lavender Beds,16,12,1,3
Leviathan,The Lavender Beds,8,19,1,3
Brynhildr,Shirogane,30,13,2,58
Excalibur,The Goblet,17,1,1,3
Sargatanas,The Goblet,8,50,1,3
Lamia,The Lavender Beds,8,5,2,41
Lamia,Mist,18,34,2,32
Lamia,Mist,29,48,1,12
Lamia,Mist,29,49,1,15
Gilgamesh,Shirogane,29,56,1,7
Excalibur,The Lavender Beds,24,17,1,17
Excalibur,The Lavender Beds,7,1,2,104
Jenova,The Goblet,21,36,2,29
Exodus,The Lavender Beds,27,46,2,96
Midgardsormr,Empyreum,21,42,3,119
Midgardsormr,The Goblet,20,38,2,41
Midgardsormr,The Lavender Beds,2,51,2,12
Diabolos,Shirogane,16,43,2,43
Midgardsormr,Mist,5,42,1,0
Behemoth,The Goblet,24,8,2,20
Cactuar,Mist,8,38,1,10
Zalera,Empyreum,27,48,2,43
Coeurl,Empyreum,23,56,2,44
Gilgamesh,The Lavender Beds,23,21,2,37
Faerie,Mist,13,34,2,134
Faerie,Mist,13,13,1,11
Midgardsormr,Mist,15,44,2,50
Jenova,Empyreum,14,33,1,4
Goblin,Mist,27,58,1,4
Goblin,Mist,13,6,2,78
Goblin,Mist,13,11,1,3
Balmung,The Goblet,29,43,3,302
Cactuar,The Goblet,1,55,2,12
Jenova,Mist,7,30,2,85
Cactuar,Mist,5,20,1,9
Malboro,Shirogane,16,27,1,4
Malboro,Shirogane,17,24,2,50
Famfrit,The Goblet,16,55,2,17
Famfrit,The Lavender Beds,20,17,1,10
Diabolos,Empyreum,16,9,1,2
Diabolos,Empyreum,3,55,1,1
Diabolos,Shirogane,11,52,1,4
Diabolos,Mist,23,6,2,62
Diabolos,Mist,23,33,1,2
Diabolos,Mist,22,9,1,3
Diabolos,Mist,9,56,1,2
Behemoth,Empyreum,14,35,1,0
Behemoth,Empyreum,2,25,1,1
Behemoth,Empyreum,13,38,2,26
Behemoth,The Lavender Beds,7,52,1,2
Behemoth,Shirogane,19,51,1,4
Sargatanas,The Lavender Beds,17,53,1,3
Siren,Mist,9,54,1,3
Hyperion,Mist,20,31,2,99
Cactuar,The Lavender Beds,1,49,1,3
Adamantoise,The Lavender Beds,13,18,1,3
Midgardsormr,Shirogane,18,59,1,6
Sargatanas,Empyreum,26,21,2,43
Sargatanas,Empyreum,16,19,1,0
Mateus,Shirogane,12,36,1,38
Faerie,Mist,20,44,2,90
Sargatanas,Mist,21,31,2,50
Faerie,The Goblet,21,32,1,4
Sargatanas,The Goblet,6,2,1,1
Siren,The Lavender Beds,8,42,1,6
Faerie,The Lavender Beds,23,57,2,148
Faerie,Shirogane,29,56,1,10
Mateus,Shirogane,18,45,2,123
Balmung,The Lavender Beds,28,44,1,36
Exodus,The Goblet,2,38,2,12
Cactuar,Empyreum,26,55,1,5
Cactuar,Shirogane,10,52,1,30
Brynhildr,The Goblet,29,8,2,26
Brynhildr,Mist,30,46,1,2
Adamantoise,Empyreum,8,10,1,2
Siren,The Lavender Beds,26,50,1,7
Adamantoise,Shirogane,24,31,2,58
Adamantoise,The Goblet,11,39,1,1
Lamia,The Lavender Beds,20,40,1,4
Malboro,Mist,14,25,1,2
Mateus,The Goblet,26,58,1,16
Sargatanas,Empyreum,18,38,2,34
Balmung,Shirogane,4,8,2,158
Mateus,The Goblet,22,24,1,18
Ultros,Empyreum,10,5,1,5
Lamia,The Lavender Beds,22,1,2,36
Balmung,The Lavender Beds,28,45,1,59
Goblin,Empyreum,26,32,2,34
Goblin,Empyreum,24,45,1,1
Gilgamesh,Empyreum,25,25,1,0
Gilgamesh,The Goblet,26,34,2,23
Balmung,Mist,5,53,1,30
Balmung,Mist,26,11,1,33
Faerie,Empyreum,27,16,1,5
Faerie,Empyreum,7,1,1,20
Excalibur,The Goblet,30,53,1,2
Goblin,The Goblet,29,1,1,1
Goblin,The Goblet,7,33,1,1
Goblin,The Lavender Beds,11,13,1,6
Goblin,Mist,5,21,1,15
Goblin,Mist,13,42,1,1
Lamia,Shirogane,19,55,1,4
Siren,Shirogane,19,36,1,5
Sargatanas,Mist,5,24,1,0
Faerie,Shirogane,20,52,1,23
Famfrit,The Goblet,25,56,1,1
Cactuar,The Goblet,10,38,2,33
Cactuar,The Lavender Beds,24,25,1,8
Cactuar,The Lavender Beds,2,59,1,2
Brynhildr,Shirogane,12,59,1,8
Midgardsormr,Mist,26,17,1,7
Hyperion,Mist,30,20,1,13
Hyperion,Mist,2,54,1,1
Hyperion,Mist,27,19,1,30
Jenova,The Goblet,8,47,1,3
Cactuar,Empyreum,13,46,1,2
Gilgamesh,Mist,13,10,1,4
Exodus,The Goblet,23,36,2,27
Gilgamesh,Mist,8,54,1,4
Brynhildr,The Goblet,15,14,1,3
Exodus,Shirogane,18,22,1,6
Brynhildr,Mist,3,12,1,0
Brynhildr,The Lavender Beds,30,26,1,8
Mateus,Empyreum,11,11,1,18
Mateus,The Lavender Beds,13,50,1,29
Malboro,Shirogane,21,57,1,4
Malboro,Shirogane,20,32,1,1
Diabolos,Mist,12,7,2,42
Malboro,Shirogane,16,28,2,52
Siren,Mist,13,3,1,6
Siren,Mist,19,21,1,10
Siren,Mist,23,51,1,14
Sargatanas,Shirogane,19,30,3,239
Zalera,Mist,5,16,1,1
Leviathan,The Lavender Beds,26,57,2,60
Leviathan,Shirogane,20,8,2,122
Faerie,The Lavender Beds,9,23,1,10
Cactuar,The Goblet,14,9,1,3
Coeurl,The Goblet,22,51,1,2
Coeurl,Mist,9,30,2,58
Adamantoise,Shirogane,18,58,2,56
Adamantoise,Shirogane,22,46,3,154
Cactuar,Empyreum,10,5,1,3
Cactuar,The Lavender Beds,5,55,1,0
Midgardsormr,Shirogane,19,36,1,7
Excalibur,Empyreum,4,8,2,19
Jenova,Empyreum,27,45,1,5
Jenova,The Goblet,21,19,2,71
Sargatanas,The Lavender Beds,10,31,2,59
Lamia,The Lavender Beds,7,7,1,5
Exodus,The Goblet,1,14,1,0
Exodus,Mist,19,50,1,8
Brynhildr,The Lavender Beds,29,13,1,7
Ultros,The Goblet,16,29,1,1
Ultros,The Lavender Beds,25,42,1,0
Behemoth,Mist,7,46,1,0
Leviathan,The Goblet,30,36,2,25
Balmung,Mist,17,23,1,47
Gilgamesh,The Goblet,21,27,1,1
Gilgamesh,The Lavender Beds,27,7,1,4
Exodus,The Goblet,21,52,1,0
Exodus,The Goblet,22,39,1,2
Excalibur,Mist,30,22,1,10
Excalibur,Shirogane,11,3,1,15
Excalibur,Shirogane,12,3,1,15
Excalibur,Shirogane,11,27,1,6
Jenova,Mist,21,40,1,12
Coeurl,Mist,17,19,1,21
Gilgamesh,The Goblet,10,28,1,1
Cactuar,Empyreum,6,54,1,0
Leviathan,Empyreum,13,7,2,23
Gilgamesh,Mist,5,11,1,0
Cactuar,The Lavender Beds,19,12,1,7
Midgardsormr,The Goblet,7,23,1,2
Gilgamesh,Empyreum,8,8,2,26
Hyperion,The Goblet,21,21,1,1
Diabolos,Empyreum,1,57,1,0
Balmung,The Goblet,19,29,1,26
Balmung,The Goblet,27,28,1,22
Excalibur,The Lavender Beds,13,25,1,5
Zalera,Empyreum,27,37,2,35
Zalera,Empyreum,11,10,1,4
Faerie,Shirogane,18,14,1,9
Lamia,Empyreum,4,43,1,2
Adamantoise,Mist,9,39,1,5
Famfrit,Empyreum,1,48,2,61
Adamantoise,The Goblet,7,48,1,2
Ultros,The Goblet,20,12,2,27
Zalera,Mist,6,48,1,1
Zalera,The Goblet,18,41,2,28
Jenova,The Lavender Beds,23,50,1,13
Famfrit,The Lavender Beds,24,48,1,5
Leviathan,Mist,22,30,2,51
Leviathan,Mist,25,58,1,2
Mateus,Empyreum,6,5,1,1
Gilgamesh,Mist,18,47,1,2
Mateus,The Goblet,4,39,1,1
Balmung,Shirogane,12,59,1,33
Malboro,Shirogane,11,50,1,4
Faerie,The Goblet,1,59,1,0
Zalera,The Lavender Beds,4,27,2,35
Zalera,The Lavender Beds,4,55,1,5
Adamantoise,Empyreum,19,43,1,5
Malboro,The Goblet,8,24,1,1
Malboro,The Goblet,8,44,1,4
Jenova,Shirogane,19,52,1,21
Gilgamesh,Shirogane,20,14,1,13
Jenova,The Goblet,4,7,1,0
Adamantoise,Shirogane,8,13,2,56
Zalera,The Lavender Beds,17,19,1,6
Sargatanas,Shirogane,22,34,1,6
Sargatanas,The Goblet,28,18,1,3
Hyperion,Mist,19,16,1,1
Hyperion,Mist,2,23,1,1
Balmung,Empyreum,20,14,1,23
Midgardsormr,Empyreum,10,53,1,3
Hyperion,Empyreum,2,6,1,0
Hyperion,The Lavender Beds,4,45,1,2
Hyperion,The Goblet,27,40,1,4
Hyperion,The Goblet,6,5,3,56
Hyperion,The Goblet,3,23,1,0
Midgardsormr,Mist,25,12,1,1
Midgardsormr,Mist,7,41,1,3
Ultros,Shirogane,8,35,1,5
Excalibur,Mist,13,46,1,5
Balmung,Shirogane,8,35,1,34
Behemoth,The Goblet,24,42,2,15
Behemoth,Shirogane,20,47,1,5
Behemoth,Shirogane,3,27,1,0
Lamia,Mist,29,17,1,8
Ultros,Mist,29,51,1,22
Coeurl,The Goblet,29,21,1,4
Coeurl,The Lavender Beds,29,40,1,22
Adamantoise,Empyreum,9,44,1,1
Brynhildr,Shirogane,11,51,1,19
Hyperion,Mist,16,3,1,4
Goblin,Mist,4,47,1,0
Malboro,Shirogane,19,39,1,3
Malboro,Mist,19,1,2,44
Malboro,Mist,25,38,1,0
Excalibur,Mist,14,44,2,90
Mateus,Mist,10,30,2,156
Zalera,The Lavender Beds,19,38,1,4
Siren,Shirogane,20,23,1,8
Siren,Empyreum,25,24,1,1
Brynhildr,Mist,25,27,1,0
Brynhildr,Mist,20,9,1,5
Jenova,Empyreum,9,30,3,146
Goblin,The Lavender Beds,15,51,2,25
Siren,The Goblet,1,9,1,1
Famfrit,Mist,30,41,1,4
Balmung,Empyreum,6,11,1,16
Excalibur,The Goblet,20,28,1,3
Behemoth,Mist,29,19,1,20
Adamantoise,Shirogane,30,11,1,5
Gilgamesh,The Goblet,28,18,1,2
Gilgamesh,The Goblet,12,39,1,2
Gilgamesh,The Lavender Beds,25,48,1,2
Gilgamesh,The Lavender Beds,4,59,1,2
Gilgamesh,Empyreum,9,31,1,9
Sargatanas,The Goblet,24,15,1,4
Midgardsormr,Shirogane,13,36,1,5
Ultros,Empyreum,16,12,3,158
Famfrit,Shirogane,22,34,1,2
Balmung,Shirogane,30,2,1,49
Siren,Mist,19,26,1,5
Siren,Mist,10,59,2,67
Midgardsormr,Shirogane,1,48,1,0
Gilgamesh,Mist,21,38,1,4
Zalera,Empyreum,10,16,1,2
Lamia,The Goblet,1,56,1,2
Malboro,Shirogane,1,48,1,0
Jenova,The Lavender Beds,21,24,1,14
Jenova,The Goblet,15,21,1,5
Jenova,The Goblet,2,38,2,9
Behemoth,Empyreum,11,27,1,1
Behemoth,Empyreum,22,51,2,26
Lamia,Mist,30,31,2,27
Balmung,Empyreum,17,53,1,29
Malboro,The Lavender Beds,16,45,1,9
Gilgamesh,Mist,15,46,1,2
Zalera,The Lavender Beds,27,14,1,5
Behemoth,The Lavender Beds,10,49,1,2
Zalera,The Lavender Beds,3,34,1,0
Faerie,Shirogane,17,57,1,17
Malboro,Mist,30,16,1,2
Behemoth,The Goblet,21,29,1,0
Hyperion,The Lavender Beds,21,48,1,3
Behemoth,The Lavender Beds,5,9,1,2
Behemoth,Mist,18,6,2,98
Adamantoise,Shirogane,30,10,1,5
Brynhildr,Mist,8,28,1,4
Adamantoise,The Lavender Beds,28,31,2,87
Adamantoise,The Lavender Beds,12,26,1,2
Mateus,Mist,14,8,1,22
Malboro,The Lavender Beds,15,4,1,4
Faerie,Mist,24,28,1,10
Hyperion,The Goblet,9,11,2,41
Faerie,The Lavender Beds,26,55,1,15
Jenova,Empyreum,1,20,1,0
Jenova,Shirogane,12,43,2,106
Faerie,The Goblet,18,24,1,5
Goblin,The Lavender Beds,19,46,2,91
Leviathan,Mist,21,14,2,29
Leviathan,Mist,11,45,3,199
Brynhildr,Mist,9,18,1,3
Goblin,Empyreum,17,17,2,36
Midgardsormr,Empyreum,7,46,1,2
Balmung,The Goblet,20,21,1,25
Siren,Mist,18,37,2,49
Siren,Mist,30,25,1,7
Cactuar,The Lavender Beds,24,2,1,6
Diabolos,Empyreum,9,19,1,1
Balmung,The Goblet,27,10,1,30
Malboro,Shirogane,26,50,1,6
Jenova,The Lavender Beds,20,32,1,8
Gilgamesh,Mist,22,53,1,5
Gilgamesh,Mist,11,11,1,3
Siren,Empyreum,15,39,1,2
Malboro,Empyreum,20,42,3,109
Mateus,The Lavender Beds,22,4,1,40
Adamantoise,Mist,26,33,1,7
Midgardsormr,The Goblet,14,58,1,2
Leviathan,Empyreum,13,18,2,27
Malboro,The Goblet,2,44,1,1
Famfrit,The Lavender Beds,20,21,2,46
Malboro,The Lavender Beds,4,34,1,0
Cactuar,The Lavender Beds,22,59,1,22
Goblin,The Lavender Beds,30,32,1,4
Adamantoise,The Goblet,20,28,1,0
Goblin,The Goblet,27,54,1,1
Zalera,The Goblet,5,43,3,61
Jenova,The Goblet,16,32,1,5
Gilgamesh,Shirogane,19,10,1,6
Mateus,Empyreum,13,39,1,18
Exodus,The Goblet,10,55,2,20
Brynhildr,Mist,27,41,1,2
Brynhildr,Mist,19,49,1,25
Behemoth,The Lavender Beds,9,21,2,48
Diabolos,Shirogane,1,8,2,60
Gilgamesh,The Goblet,8,16,1,2
Balmung,The Goblet,26,19,2,252
Ultros,The Goblet,14,56,1,0
Exodus,Shirogane,28,33,1,11
Exodus,Mist,14,3,1,3
Behemoth,Shirogane,21,3,1,11
Faerie,Empyreum,3,47,2,34
Jenova,Empyreum,22,34,1,6
Zalera,Shirogane,26,48,1,9
Zalera,Shirogane,18,35,1,11
Excalibur,Mist,23,48,1,9
Excalibur,The Goblet,16,57,1,7
Balmung,The Goblet,21,26,1,23
Sargatanas,Mist,3,39,1,0
Siren,Empyreum,26,39,1,3
Mateus,The Goblet,13,49,2,104
Leviathan,Empyreum,24,22,3,77
Goblin,Shirogane,4,39,1,1
Leviathan,The Lavender Beds,5,31,2,16
Faerie,The Lavender Beds,29,15,1,15
Jenova,Shirogane,2,23,1,0
Exodus,Empyreum,13,17,2,67
Cactuar,The Goblet,28,42,2,27
Adamantoise,Empyreum,19,55,1,4
Behemoth,Mist,13,7,2,37
Malboro,Empyreum,13,13,1,3
Mateus,The Lavender Beds,7,60,2,133
Mateus,The Lavender Beds,6,13,1,4
Excalibur,Shirogane,23,12,1,5
Adamantoise,Empyreum,22,43,1,2
Diabolos,The Lavender Beds,2,42,1,1
Diabolos,The Lavender Beds,2,47,1,1
Sargatanas,Mist,12,19,1,24
Sargatanas,Shirogane,12,29,1,5
Hyperion,Mist,11,27,1,1
Gilgamesh,Empyreum,29,48,2,43
Sargatanas,The Lavender Beds,23,34,1,5
Malboro,The Lavender Beds,6,9,1,1
Sargatanas,Mist,7,38,1,8
Siren,Empyreum,9,36,1,4
Adamantoise,Empyreum,13,19,1,4
Faerie,Shirogane,10,44,1,10
Faerie,Empyreum,18,5,1,7
Exodus,The Goblet,7,12,2,18
Jenova,The Lavender Beds,2,29,1,1
Adamantoise,Mist,9,18,1,2
Adamantoise,The Goblet,15,20,1,6
Ultros,The Goblet,28,28,1,1
Adamantoise,Mist,30,56,1,7
Excalibur,The Goblet,22,48,1,3
Gilgamesh,Shirogane,27,58,2,64
Lamia,Shirogane,8,31,2,59
Faerie,Shirogane,10,53,1,13
Siren,The Lavender Beds,9,41,2,248
Midgardsormr,Shirogane,13,38,2,118
Midgardsormr,Shirogane,8,39,1,6
Midgardsormr,The Lavender Beds,18,35,2,102
Goblin,Shirogane,4,41,1,1
Gilgamesh,The Goblet,21,52,1,1
Ultros,Shirogane,23,55,1,9
Hyperion,The Lavender Beds,16,47,1,15
Goblin,The Lavender Beds,15,21,2,24
Behemoth,Empyreum,26,4,1,0
Balmung,Mist,12,54,1,28
Sargatanas,Mist,5,20,1,2
Malboro,The Goblet,9,51,1,1
Malboro,The Lavender Beds,28,26,1,5
Malboro,Mist,26,15,3,130
Sargatanas,Shirogane,22,46,3,111
Mateus,Mist,21,2,3,152
Siren,The Lavender Beds,18,15,1,9
Siren,The Goblet,23,25,2,41
Siren,The Goblet,10,2,1,0
Balmung,Mist,15,55,1,38
Zalera,Shirogane,11,52,1,13
Hyperion,Shirogane,23,38,2,133
Diabolos,Mist,9,43,1,1
Diabolos,Mist,19,4,2,46
Cactuar,The Lavender Beds,23,42,1,5
Brynhildr,The Goblet,29,34,2,25
Siren,Shirogane,13,19,2,120
Diabolos,Shirogane,30,9,1,3
Diabolos,Shirogane,9,38,2,75
Gilgamesh,Empyreum,20,57,1,6
Zalera,The Goblet,8,37,1,3
Excalibur,The Lavender Beds,23,24,1,5
Famfrit,Shirogane,16,43,2,41
Cactuar,The Goblet,2,52,1,1
Cactuar,The Lavender Beds,5,52,1,3
Famfrit,Mist,23,30,2,68
Gilgamesh,The Lavender Beds,18,44,1,3
Ultros,Empyreum,19,17,2,55
Jenova,Mist,6,45,3,121
Excalibur,Shirogane,21,36,1,3
Excalibur,Empyreum,21,42,3,140
Excalibur,Mist,15,16,1,2
Famfrit,The Goblet,24,34,2,13
Jenova,Shirogane,16,4,1,10
Cactuar,Empyreum,13,19,1,3
Faerie,The Lavender Beds,17,14,1,11
Faerie,The Lavender Beds,7,29,1,42
Excalibur,The Lavender Beds,12,2,1,6
Siren,The Goblet,5,38,2,11
Mateus,Shirogane,30,26,1,27
Brynhildr,Empyreum,10,7,2,61
Brynhildr,Mist,29,5,3,191
Brynhildr,Mist,27,18,1,7
Cactuar,The Lavender Beds,9,60,2,61
Cactuar,The Lavender Beds,29,46,2,204
Brynhildr,Empyreum,30,41,1,10
Ultros,Shirogane,7,50,1,5
Balmung,Shirogane,27,10,1,38
Lamia,Empyreum,1,25,1,1
Famfrit,Shirogane,8,32,1,3
Ultros,Shirogane,13,8,2,106
Cactuar,Empyreum,24,52,3,156
Balmung,The Goblet,12,46,1,41
Leviathan,Shirogane,16,33,1,14
Gilgamesh,The Goblet,22,47,1,3
Jenova,The Goblet,2,19,2,15
Coeurl,Mist,4,35,3,138
Mateus,Empyreum,28,4,1,18
Mateus,The Lavender Beds,26,18,1,26
Gilgamesh,The Goblet,10,13,3,69
Gilgamesh,The Goblet,12,18,1,1
Leviathan,Shirogane,18,2,1,8
Behemoth,Shirogane,14,4,1,7
Mateus,Shirogane,15,25,1,27
Lamia,The Lavender Beds,20,19,1,5
Gilgamesh,Mist,17,38,1,2
Excalibur,Mist,27,52,1,10
Sargatanas,The Goblet,19,47,1,1
Exodus,Shirogane,2,53,1,0
Midgardsormr,Empyreum,2,8,2,8
Balmung,The Goblet,3,56,1,19
Malboro,Empyreum,20,51,2,38
Faerie,The Goblet,18,51,1,4
Malboro,Mist,10,18,1,4
Famfrit,Shirogane,11,13,2,46
Coeurl,Empyreum,23,27,1,8
Mateus,The Goblet,14,31,1,15
Mateus,The Goblet,11,40,1,12
Hyperion,Mist,1,51,1,5
Brynhildr,Mist,29,48,1,4
Brynhildr,Mist,26,30,2,75
Sargatanas,Empyreum,18,1,1,8
Sargatanas,The Goblet,25,11,2,8
Jenova,The Lavender Beds,18,4,1,10
Faerie,The Lavender Beds,17,12,1,9
Balmung,Shirogane,9,56,1,33
Mateus,The Lavender Beds,6,37,1,3
Malboro,The Lavender Beds,29,12,1,7
Sargatanas,Mist,20,23,1,5
Hyperion,The Lavender Beds,7,36,3,201
Faerie,Empyreum,17,9,1,4
Famfrit,The Lavender Beds,19,7,1,3
Cactuar,Shirogane,28,14,1,18
Cactuar,Empyreum,12,36,1,3
Lamia,Empyreum,26,51,2,19
Excalibur,The Goblet,30,24,1,4
Coeurl,Shirogane,24,24,2,63
Mateus,The Lavender Beds,1,8,1,10
Famfrit,Shirogane,7,49,2,33
Famfrit,Empyreum,21,30,3,71
Famfrit,The Goblet,20,13,3,35
Famfrit,The Goblet,11,6,2,13
Cactuar,Shirogane,13,35,1,8
Famfrit,Mist,23,14,2,16
Faerie,The Lavender Beds,5,51,2,44
Leviathan,Mist,8,53,1,4
Jenova,Empyreum,15,21,2,72
